Sr No,Member Id,Unit Name,Contact Person,Chapter,Category
134,247,Shree Oils & Fats,"Ashish Goel, Vishal Goel",Bareilly,AGRO & FOOD PROCESSING
135,248,Shri Siddhi Vinayak Trust,Anupam Kapoor,Bareilly,SERVICE
136,249,Shri Kumar & Associates,Shri Kumar Agarwal,Bareilly,SERVICE
137,250,Shri Raghunandan Dal Industries,"Anoop Kumar Agarwal, Anuj Kumar Agarwal, Ram Krishan Agarwal",Bareilly,AGRO & FOOD PROCESSING
138,251,Shri Sai Pet Industries,Rakesh Kumar Agarwal,Bareilly,PLASTIC & PLASTIC PRODUCTS
139,252,Shree Shyam Ji Conductors,Manish Garg,Bareilly,ELECTRICAL & ELECTRONICS
140,255,Sybly Industries Ltd,Mahesh Chand Mittal,Modinagar,TEXTILE & GARMENTS
141,256,Silver & Golden Poly & Paper Printers,S. Naim,Bareilly,"PAPER, PRINTING & PUBLISHING"
142,259,Sirmaur Soap And Allied Products Pvt Ltd.,Tej Inder Singh,Bareilly,SOAP & DETERGENT
143,262,Studio Nataraj,Manoj Dixit,Bareilly,SERVICE
144,265,Suneet Printers,Suneet Moona,Bareilly,"PAPER, PRINTING & PUBLISHING"
145,268,Surgicon India,"M. L. Arora, Vishal Arora",Bareilly,PHARMACEUTICAL & MEDICAL PRODUCTS
146,269,Tarun Alum Pvt. Ltd.,Hardeep Singh Oberoi,Bareilly,ENGINEERING COMPONENTS & SUPPLIES
147,270,Tejas Foods Pvt. Ltd.,"Amit AgArwal, Mahavir Saran Agarwal",Bareilly,AGRO & FOOD PROCESSING
148,271,Tiger Pencils,Charan Kamaljeet Singh,Bareilly,"PAPER, PRINTING & PUBLISHING"
149,275,V.K. Industries,Vinit Saxena,Bareilly,ELECTRICAL & ELECTRONICS
150,276,Vadilal Industries Limited,D.L Gandhi,Bareilly,AGRO & FOOD PROCESSING
,,,,,
